Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode
1398 Horizon Boulevard  (FM Route 1281),El Paso,TX,79927
5102 South Cedar Street  (US-285),Pecos,TX,79772
Kermit Highway  (TX-115),Andrews,TX,79714
Frontage Road  (I-20 Service East),Odessa,TX,79766
817 North Wells Street  (TX-111),Edna,TX,77957
"I-20, US-84",Sweetwater,TX,79556
"9424 I-20 Service West, West US-84 Service",Sweetwater,TX,79556
South R L Thornton Service Road North  (I-35 E Service North),Lancaster,TX,75134
I-45,Fairfield,TX,75840
Beltway Parkway,Laredo,TX,78045
I-20 Service West,Canton,TX,75103
FM Route 1903,Caddo Mills,TX,75135
1393 Hillcrest Drive South  (TX-19),Sulphur Springs,TX,75482
Pasadena Freeway  (TX-225),Deer Park,TX,77536
1100 US-180,Snyder,TX,79549
"I-10, US-90",San Antonio,TX,78244
2901 TX-86,Tulia,TX,79088
"I-69 C, US-281",Edinburg,TX,78541
1903 Santa Fe Drive  (FM Route 2552),Weatherford,TX,76086
Fischer Road,Von Ormy,TX,78073
I-30 Service West,Rockwall,TX,75087
19999 Stokes Road,Waller,TX,77484
2585 North Front Street  (TX-18),Fort Stockton,TX,79735
Eagle Ford Way,San Antonio,TX,78264
Horizon Boulevard  (FM Route 1281),El Paso,TX,79928
4679 Walden Road,Beaumont,TX,77705
I-37 Service North,George West,TX,78022
I-20,Big Spring,TX,79720
1632 I-35 Service North,Sanger,TX,76266
900 South Eagle Street  (FM Route 155),Weimar,TX,78962
Airport Boulevard  (TX-468 Spur),Amarillo,TX,79118
Southeast Mustang Drive  (Loop Route 1910),Andrews,TX,79714
8 Country Ridge Road,Melissa,TX,75454
North Grande Avenue,Cotulla,TX,78014
4504 Riverside Road,Dallas,TX,75241
I-40,Amarillo,TX,79124
I-40,Panhandle,TX,79068
2148 South Fairgrounds Road,Midland,TX,79706
1185 South Lakeside Drive  (TX-335 Loop),Amarillo,TX,79118
"1507 Corsicana Highway  (TX-22, TX-171)",Hillsboro,TX,76645
US-67 Service South,Midlothian,TX,76065
3836 West 42nd Street,Odessa,TX,79764
I-35 Service South,Cotulla,TX,78014
6883 I-40 Service West,Amarillo,TX,79104
"2451 TX-62, TX-73",Orange,TX,77630
I 35 N Service Road,Waco,TX,76706
Motor City Boulevard,Dallas,TX,75241
2508 Alliance Gateway Freeway  (TX-170),Fort Worth,TX,76177
1900 Antonio Street  (FM Route 1905),Anthony,TX,79821
247 Nichols Canyon Road,Cedar City,UT,84721
1164 South 1700 West,Ogden,UT,84404
East I 80 Eb Fwy  (I-80),Tooele,UT,84074
1609 West Forest Street  (Route 1082),Brigham City,UT,84302
Water Tank Road,Salina,UT,84654
1685 Saddleback Boulevard,Tooele,UT,84074
West 1400 North,Beaver,UT,84713
Scipio Rest Area,Fillmore,UT,84631
600 West,Willard,UT,84340
I-15,Parowan,UT,84761
933 West North Pointe Circle,North Salt Lake,UT,84054
East Flying J Drive,Richfield,UT,84701
South Stone Road  (Route 1064),Snowville,UT,84336
2789 60 East Street,Saint George,UT,84790
130 West 400 South  (UT-77),Springville,UT,84663
"1069 East Main Street  (UT-19, I-70 Business)",Green River,UT,84525
"Main Street  (UT-28, UT-41)",Nephi,UT,84648
2045 South 1100 West,Ogden,UT,84401
1991 South 900 West,Salt Lake City,UT,84104
Springville Rest Area,Springville,UT,84663
16 North Redwood Road  (UT-68),Salt Lake City,UT,84116
I-77,Wytheville,VA,24382
6164 North Scenic Highway  (US-52),Bastian,VA,24314
9212 Winterberry Avenue  (F VA-F205),Covington,VA,24426
1115 Mount Olive Road  (VA-651),Toms Brook,VA,22660
10138 Lewistown Road  (VA-802),Ashland,VA,23005
I-95,Ashland,VA,23005
Peebles Street,La Crosse,VA,23950
487 Beal Street,Franklin,VA,23851
Villa Court,Troutville,VA,24175
East Lee Highway,Wytheville,VA,24382
713 Oakland Circle,Raphine,VA,24472
"2170 Philpott Road  (US-58, US-360)",South Boston,VA,24592
Emmaus Church Road  (VA-106),Providence Forge,VA,23140
739 Moores Ferry Road  (VA-629),Skippers,VA,23879
1014 Mount Olive Road  (VA-651),Toms Brook,VA,22660
Fountain Drive,Disputanta,VA,23842
24279 Rogers Clark Boulevard  (VA-207),Ruther Glen,VA,22546
Fort Chiswell Road  (US-52),Max Meadows,VA,24360
Zachary Ann Lane,Clear Brook,VA,22624
3249 Chapman Road,Wytheville,VA,24382
1815 North Mecklenburg Avenue  (US-1),La Crosse,VA,23950
North Lee Highway  (US-11),Lexington,VA,24450
3633 North Valley Pike  (US-11),Harrisonburg,VA,22802
Ace Drive,Suffolk,VA,23434
Rogers Clark Boulevard  (VA-207),Ruther Glen,VA,22546
Raphine Road  (VA-606),Raphine,VA,24472
2142 Ruffin Mill Road  (Route 746),Colonial Heights,VA,23834
Lee Jackson Highway  (US-11),Greenville,VA,24440
Purdy Road  (VA-619),Emporia,VA,23847
33527 Lee Highway  (US-11),Glade Spring,VA,24340
Major Grahams Road  (VA-619),Max Meadows,VA,24360
County Drive  (US-460),Disputanta,VA,23842
749 Moores Ferry Road  (VA-629),Skippers,VA,23879
13333 Glenbrook Avenue  (VA-80),Meadowview,VA,24361
218 Old Pipers Gap Road  (Route 620),Lambsburg,VA,24351
23420 Cool Water Drive  (Old VA-652),Ruther Glen,VA,22546
Jimmy Burrell Lane,Providence Forge,VA,23140
"1208 South Boston Road  (US-58, US-360)",Danville,VA,24540
46484 Southeast North Bend Way,North Bend,WA,98045
1381 East 25th Street,Tacoma,WA,98421
10298 Westbow Road,Cheney,WA,99004
2300 Canyon Road,Ellensburg,WA,98926
3791 South Geiger Boulevard,Spokane,WA,99224
East Broadway Avenue,Spokane,WA,99212
US-97,Ellensburg,WA,98926
1678 West Axton Road,Ferndale,WA,98248
2216 East Hillsboro Street,Pasco,WA,99301
Smokey Point Boulevard,Arlington,WA,98223
3857 Wine Country Road  (Route 12),Prosser,WA,99350
"I-90, US-395",Ritzville,WA,99169
I-5,Olympia,WA,98512
1280 Rush Road,Chehalis,WA,98532
6011 US-51,Deforest,WI,53532
6203 County Road B,Menomonie,WI,54751
631 US-12,Hudson,WI,54016
311 West Rolling Meadows Drive  (Route VVV),Fond du Lac,WI,54937
"I-39, I-90",Janesville,WI,53545
9678 South 20th Street,Oak Creek,WI,53154
780 WI-54,Black River Falls,WI,54615
Development Lane,Green Bay,WI,54311
Freeman Parkway,Beloit,WI,53511
13712 Northwestern Avenue  (Route K),Franksville,WI,53126
820 West Frontage Road  (Frontage I-41),Sturtevant,WI,53177
1737 Elderberry Road,Colby,WI,54421
I-43,Sheboygan,WI,53081
"9477 Route J, Route CS",Poynette,WI,53955
144 Commercial Street,Mauston,WI,53948
2201 West Ryan Road  (WI-100),Oak Creek,WI,53154
1179 70th Avenue,Roberts,WI,54023
4649 Rib Mountain Drive  (Route N),Wausau,WI,54401
Kinney Road,Portage,WI,53901
147 Maloney Road,Kaukauna,WI,54130
227 South Oakwood Street  (Route N),Tomah,WI,54660
534 Green Bay Street  (Route BE),Bonduel,WI,54107
WV-34,Hurricane,WV,25526
4304 1st Avenue  (WV-25),Nitro,WV,25143
Laurel Path Road,Sutton,WV,26601
I-70,Valley Grove,WV,26060
"Old US-21, Route 21",Ripley,WV,25271
2310 Smithtown Road  (Route 73),Morgantown,WV,26508
915 West Curtis Street  (I-80 Business),Laramie,WY,82072
Carlton Road,Wamsutter,WY,82336
South Higley Boulevard,Rawlins,WY,82301
Missile Road  (Route 140),Cheyenne,WY,82009
I-80,Fort Bridger,WY,82933
Southeast Wyoming Boulevard  (WY-258),Casper,WY,82609
2300 Etchepare Drive,Cheyenne,WY,82007
"10501 US-30, WY-89",Cokeville,WY,83114
"1920 Harrison Drive  (US-189 Business, I-80 Business)",Evanston,WY,82930
643 East Boxelder Road,Gillette,WY,82718
1 Flying J Way,Rawlins,WY,82301
650 Stagecoach Drive,Rock Springs,WY,82901
858 West Curtis Street  (I-80 Business),Laramie,WY,82072
1800 West Curtis Street  (Route 522),Laramie,WY,82070
"651 Bear River Drive  (US-189 Business, I-80 Business)",Evanston,WY,82930
"I-25, US-87",Cheyenne,WY,82007
8104 Hutchins Drive,Cheyenne,WY,82007
US-67,Big Lake,TX,76932
1112 Ackerman Road,San Antonio,TX,78219
1621 East Corral Avenue  (FM Route 1898),Kingsville,TX,78363
11690 Farm to Market 725  (FM Route 725),Seguin,TX,78155
Sonterra Boulevard,Jarrell,TX,76537
"I-35 Service South, US-83 Service South",Laredo,TX,78045
3210 Commercial Circle,New Braunfels,TX,78132
Mountain Pass Boulevard,Anthony,TX,79821
7309 Bonnie View Road,Dallas,TX,75241
2796 North McCarty Street  (US-90 Business),Houston,TX,77013
16055 Interstate 45  (I-45 Service South),Houston,TX,77090
1475 East Monte Cristo Road  (FM Route 1925),Edinburg,TX,78542
Beltway Parkway,Laredo,TX,78045
Gateway Boulevard West,El Paso,TX,79928
359 Avenue F,Lubbock,TX,79401
23412 TX-242,New Caney,TX,77357
2932 TX-62,Orange,TX,77632
I-20 Service North,Pecos,TX,79772
1847 North Foster Road,San Antonio,TX,78244
West Frontage Road  (I-10 Service West),Van Horn,TX,79855
20 FM Route 707,Merkel,TX,79536
2410 South New Road,Waco,TX,76711
9th Street,Brookshire,TX,77423
2397 Old Jacksboro Highway  (Loop TX-473),Wichita Falls,TX,76302
6218 Hollywood Road  (TX-335 Loop),Amarillo,TX,79118
Thompson Road,Baytown,TX,77521
US-90,Luling,TX,78648
I-37 Service South,Three Rivers,TX,78071
4796 TX-114,Rhome,TX,76078
"US-79, TX-6",Hearne,TX,77859
2754 West White Street  (FM Route 455),Anna,TX,75409
5619 I-10 Service West,San Antonio,TX,78219
32 Shady Oak Lane,Comfort,TX,78013
I-20 Service West,Big Spring,TX,79720
US-59 Business,Ganado,TX,77962
Conrads Lane,New Braunfels,TX,78130
Wilson Road  (Route 136),Terrell,TX,75161
East Freeway  (I-10 Service East),Baytown,TX,77521
388 FM Route 2025,Cleveland,TX,77328
286 Route 310 West,Tyler,TX,75706
35 Route 2959,Milford,TX,76670
West Frontage Road,Anthony,TX,79821
2538 Old Windthorst Road,Wichita Falls,TX,76301
Loop TX-254,Ranger,TX,76470
9600 Longstreet Road West,Willis,TX,77318
1101 Uniroyal Road,Laredo,TX,78045
West County Road 127,Odessa,TX,79765
2757 East Bankhead Drive,Weatherford,TX,76087
I-30,Mount Vernon,TX,75457
222 Patton Street,Houston,TX,77009
11792 South Freeway  (I-35 W Service North),Burleson,TX,76028
5034 Goode Road,Hutchins,TX,75141
639 TX-75,Huntsville,TX,77320
227 4th Street,Memphis,TX,79245
East Frontage Road  (I-10 Service East),Van Horn,TX,79855
"South Medford Drive  (US-59 Service North, North US-69 Service, North TX-287 Service)",Lufkin,TX,75901
Old Dennis Road,Weatherford,TX,76087
I-20 Service West,Van,TX,75790
